reference_id	shortcitation	fullcitation
659442	Perles et al. 2006d	Perles, S. J., G. S. Podniesinski, E. A. Zimmerman, E. Eastman, and L. A. Sneddon. 2006d. Vegetation classification and mapping at Allegheny Portage Railroad National Historic Site. Technical Report NPS/NER/NRTR--2006/079. National Park Service, Philadelphia, PA.
188404	Shupe et al. 1986	Shupe, J. B., J. D. Brotherson, and S. R. Rushforth. 1986. Patterns of vegetation surrounding springs in Goshen Bay, Utah County, Utah, U.S.A. Hydrobiologia 139:97-107.
190917	Shanks 1977	Shanks, D. L. 1977. Aerial photo densitometry for rangeland planning and evaluation. Unpublished thesis, Colorado State University, Fort Collins. 66 pp.
192650	Rogers 1953	Rogers, C. M. 1953. The vegetation of the Mesa de Maya region of Colorado, New Mexico, and Oklahoma. Lloydia 16(4):257-290.
194255	Daniels 1911	Daniels, F. P. 1911. The flora of Boulder, Colorado and vicinity. University of Missouri Studies, Science Series II(2):8-48.
196227	Dodd and Coupland 1966	Dodd, J. D., and R. T. Coupland. 1966. Vegetation of saline areas in Saskatchewan. Ecology 47(6):958-968.
198106	Osborn 1974	Osborn, L. W. 1974. Soil-plant relationships in a saltgrass meadow. Unpublished thesis, Colorado State University, Fort Collins. 41 pp.
756938	Erixson et al. 2011b	Erixson, J., D. Cogan, and J. Von Loh. 2011b. Vegetation inventory project report: Lake Roosevelt National Recreation Area. Natural Resource Report NPS/UCBN/NRR--2011/434 National Park Service, Fort Collins, CO. 
766568	Rodriguez et al. 2017	Rodriguez, D., K. G. Sikes, T. Keeler-Wolf, G. Kittel, J. Curtis, C. Curley, and J. Evens. 2017. Vegetation classification of Channel Islands National Park. Report to the National Park Service, Fort Collins, CO.
185462	Price and Brotherson 1987	Price, K. P., and J. D. Brotherson. 1987. Habitat and community relationships of cliffrose (Cowania mexicana var. stansburiana) in central Utah. Great Basin Naturalist 47(1):132-151.
201274	Henrickson et al. 1985	Henrickson, J., M. C. Johnston, and D. H. Riskind. 1985. Natural vegetation and community types of Texas: Trans-Pecos and the Chihuahuan Desert region. Unpublished working draft. 90 pp.
200929	Hawk 1977	Hawk, G. M. 1977. A comparative study of temperate Chamaecyparis forests. Unpublished dissertation, Oregon State University, Corvallis. 194 pp.
177500	Lindsay 1977	Lindsay, M. 1977. Management of grassy balds in Great Smoky Mountains National Park. USDI National Park Service, Southeast Region, Uplands Field Research Laboratory. Research/Resources Management Report No. 17. Gatlinburg, TN. 67 pp.
181533	Lindsay and Bratton 1980	Lindsay, M. M., and S. P. Bratton. 1980. The rate of woody plant invasion on two grassy balds. Castanea 45:75-87.
183475	Gersmehl 1969	Gersmehl, P. J. 1969. A geographic evaluation of the ecotonal hypothesis of bald location in the Southern Appalachians. Proceedings of the American Society of Geographers 1:51-54.
200060	Weakley pers. comm.	Weakley, Alan, PhD. Personal communication. Curator, UNC Herbarium, University of North Carolina, Chapel Hill. Formerly Chief Ecologist, NatureServe, Southeast Region, Durham, NC.
201306	Stratton and White 1982	Stratton, D. A., and P. S. White. 1982. Grassy balds of Great Smoky Mountains National Park: Vascular plant floristics, rare plant distributions, and an assessment of the floristic data base. USDI National Park Service, Southeast Region. Uplands Field Research Laboratory. Research/Resources Management Report SER-58. Gatlinburg, TN.
181963	Zimmerman 1956	Zimmerman, D. A. 1956. The jack pine association in the lower peninsula of Michigan: Its structure and composition. Ph.D. dissertation, University of Michigan.
177446	Northern Appalachian Ecology Working Group 2000	Northern Appalachian Ecology Working Group. 2000. Northern Appalachian / Boreal Ecoregion community classification (Review Draft). The Nature Conservancy, Eastern Conservation Science Center, Boston, MA. 117 pp. plus appendices.
179360	Wright et al. 1979	Wright, H. A., L. F. Neuenschwander, and C. M. Britton. 1979. The role and use of fire in sagebrush-grass and pinyon-juniper plant communities: A state of the art review. General Technical Report INT-58. USDA Forest Service, Intermountain Forest and Range Experiment Station, Ogden, UT.
177231	Kleiner and Harper 1977	Kleiner, E. F., and K. T. Harper. 1977. Occurrence of four major perennial grasses in relation to edaphic factors in a pristine community. Journal of Range Management 30(4):286-289.
201780	Kleiner 1983	Kleiner, E. F. 1983. Successional trends in an ungrazed, arid grassland over a decade. Journal of Range Management 36(1):114-118.
182814	Edinger et al. 2002	Edinger, G. J., D. J. Evans, S. Gebauer, T. G. Howard, D. M. Hunt, and A. M. Olivero, editors. 2002. Ecological communities of New York state. Second edition. A revised and expanded edition of Carol Reschke's ecological communities of New York state. (Draft for review). New York Natural Heritage Program, New York State Department of Environmental Conservation, Albany, NY.
178159	Blackburn et al. 1969e	Blackburn, W. H., R. E. Eckert, Jr., and P. T. Tueller. 1969e. Vegetation and soils of the Crane Springs watershed. Nevada Agricultural Experiment Station Bulletin R-55. Reno. 63 pp.
199715	Watson 1912	Watson, J. R. 1912. Plant geography of north central New Mexico: Contributions from the Hull Botanical Laboratory. Botanical Gazette 54:194-217.
199542	Lewis 1971	Lewis, M. E. 1971. Flora and major plant communities of the Ruby-East Humboldt Mountains with special emphasis on Lamoille Canyon. Unpublished report compiled for USDA Forest Service, Region IV, Ogden, UT. 62 pp.
182820	Harvey 1980	Harvey, S. J. 1980. The potential and current vegetation of the Sun River Game Range. Montana Department of Fish, Wildlife and Parks. Helena, MT. 85 pp.
477278	Sawyer and Keeler-Wolf 2005	Sawyer, J. O., and T. Keeler-Wolf. 2005. A manual of California vegetation. II. Draft manuscript. California Native Plant Society, Sacramento, CA.
188412	Laderman 1989	Laderman, A. D. 1989. The ecology of the Atlantic white cedar wetlands: A community profile. USDI Fish and Wildlife Service. Biological Report 85(7.21). 114 pp.
753426	Couvillion and Beck 2013	Couvillion, B. R., and H. Beck. 2013. Marsh collapse thresholds for coastal Louisiana estimated using elevation and vegetation index data. Journal of Coastal Research, Special Issue 63:58-67.
199426	Borgais unpubl. data 1990	Borgais, D. 1990. Unpublished data from Roundtop Butte Preserve. Data on file at Oregon Natural Heritage Program, Portland, OR.
177053	Youngblood et al. 1985b	Youngblood, A. P., W. G. Padgett, and A. H. Winward. 1985b. Riparian community type classification of northern Utah and adjacent Idaho. Unpublished report prepared for USDA Forest Service, Intermountain Region, Ogden, UT. 104 pp.
504954	Crow 1968	Crow, J. H. 1968. Plant ecology of the Copper River Delta, Alaska. Ph.D. thesis, Washington State University, Pullman. 120 pp.
645481	Roemer 2001	Roemer, H. 2001. Vegetation data from Sandy Island Provincial Park, BC. Unpublished vegetation data. Excel spreadsheet.
757988	Sproul et al. 2011	Sproul, F., T. Keeler-Wolf, P. Gordon-Reedy, J. Dunn, A. Klein, and K. Harper. 2011. Vegetation classification manual for western San Diego County. AECOM, California Department of Fish and Game, San Diego Area Governments.
200405	Clewell 1971	Clewell, A. F. 1971. The vegetation of the Apalachicola National Forest: An ecological perspective. Unpublished document. USDA Forest Service, Tallahassee, FL. 152 pp.
199970	LeGrand 1988	LeGrand, H. E., Jr. 1988. Cedar glades on diabase outcrops: A newly described community type. Castanea 53:168-172.
179150	Hansen and Hall 2002	Hansen, P. L., and J. B. Hall. 2002. Classification and management of the USDI Bureau of Land Management's riparian and wetland sites in eastern and southern Idaho. Unpublished draft prepared for the Upper Snake River District, Bureau of Land Management, by Bitterroot Restoration, Inc., Corvallis, MT.
184462	Martin and Smith 1991	Martin, D. L., and L. M. Smith. 1991. A survey and description of the natural plant communities of the Kisatchie National Forest, Winn and Kisatchie districts. Louisiana Department of Wildlife and Fisheries, Baton Rouge, LA. 372 pp.
179038	Wieland pers. comm.	Wieland, Ron G. Personal communication. Ecologist, Mississippi Department of Wildlife, Fisheries, and Parks, Mississippi Museum of Natural Science, Mississippi Natural Heritage Program, Jackson.
197064	Brewer 2001	Brewer, J. S. 2001. Current and presettlement tree species composition of some upland forests in northern Mississippi. Journal of the Torrey Botanical Society 128(4):332-349.
503091	Thompson and Hansen 2002	Thompson, W. H., and P. L. Hansen. 2002. Classification and management of riparian and wetland sites of Alberta's Grasslands Natural Region and adjacent subregions. Bitterroot Restoration, Inc., Cows and Fish, Lethbridge. 416 pp.
198830	Miller 1976	Miller, T. B. 1976. Ecology of riparian communities dominated by white alder in western Idaho. Unpublished thesis, University of Idaho, Moscow. 154 pp.
667971	Young et al. 2007a	Young, J., G. Fleming, P. Townsend, and J. Foster. 2007a. Vegetation of Shenandoah National Park in relation to environmental gradients. Final Report, volume 1.1. Unpublished report submitted to the U.S. Department of the Interior, National Park Service. 103 pp. plus appendices and GIS products.
185910	Gould and Ewan 1975	Gould, E., and J. Ewan. 1975. Phytogeographic and ecologic relationships of the flora of Breton Island (St. Bernard Parish, Louisiana) Tulane Studies in Zoology and Botany 19:26-36.
181627	Hoffman and Alexander 1976	Hoffman, G. R., and R. R. Alexander. 1976. Forest vegetation of the Bighorn Mountains, Wyoming: A habitat type classification. Research Paper RM-170. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO. 38 pp.
506839	Wiedemann 1993	Wiedemann, A. M. 1993. Dry coastal ecosystems of northwestern North America. Pages 341-358 in: E. van der Maarel, editor. Ecosystems of the World 2B: Dry Coastal Ecosystems - Africa, America, Asia and Oceania. Elsevier, Amsterdam, The Netherlands.
192266	Hemstrom et al. 1987	Hemstrom, M. A., S. E. Logan, and W. Pavlat. 1987. Plant association and management guide, Willamette National Forest. Report R6-Ecol 257-B-86. USDA Forest Service, Pacific Northwest Region, Portland, OR. 312 pp.
195730	Tassin pers. comm.	Tassin, K. Personal communication. Ecologist, The Nature Conservancy, Georgia Field Office, Atlanta, GA.
196330	Rice and Peet 1997	Rice, S. K., and R. K. Peet. 1997. Vegetation of the Lower Roanoke River Floodplain. Unpublished report to The Nature Conservancy. 154 pp.
195985	Raven 1948	Raven, K. A. 1948. Ecology of a timberline area in the Colorado Front Range. Unpublished thesis, University of Colorado, Boulder. 83 pp.
201552	Langenheim 1962	Langenheim, J. H. 1962. Vegetation and environmental patterns in the Crested Butte area, Gunnison County, Colorado. Ecological Monographs 32:249-285.
757907	Sewell and Zomlefer 2014	Sewell, S. Y. S., and W. B. Zomlefer. 2014. Floristics of Piedmont Gabbro Upland Depression Forests in Jasper County, Georgia. Castanea 79(3):195-220.
181779	Fralish et al. 1991	Fralish, J. S., F. B. Crooks, J. L. Chambers, and F. M. Harty. 1991. Comparison of presettlement, second-growth and old-growth forest on six site types in the Illinois Shawnee Hills. The American Midland Naturalist 125:294-309.
193467	Robertson and Heikens 1994	Robertson, P. A., and A. L. Heikens. 1994. Fire frequency in oak-hickory forests of southern Illinois. Castanea 59(3):286-291.
193680	Hutchison 1994	Hutchison, M. D. 1994. The barrens of the Midwest: An historical perspective. Castanea 59(3):195-203.
199963	Fralish 1987	Fralish, J. S. 1987. Forest stand basal area and its relationship to individual soil and topographic factors in the Shawnee Hills. Transactions of the Illinois Academy of Science 80(3 and 4):183-194.
200029	Crouch 1983	Crouch, G. L. 1983. Effects of commercial clear-cutting of aspen on understory vegetation and wildlife habitat values in southwestern Colorado. Research Paper RM-246. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO.
643742	Muldavin and Tonne 2003	Muldavin, E., and P. Tonne. 2003. A vegetation survey and preliminary ecological assessment of Valles Caldera National Preserve, New Mexico. Natural Heritage New Mexico Publication No. 03-GTR-272. Natural Heritage New Mexico, University of New Mexico, Albuquerque. 73 pp. plus appendices.
181747	Winward 1970	Winward, A. H. 1970. Taxonomic and ecological relationships of the big sagebrush complex in Idaho. Unpublished dissertation, University of Idaho, Moscow. 90 pp.
513257	Perles et al. 2007	Perles, S. J., G. S. Podniesinski, E. Eastman, L. A. Sneddon, and S. C. Gawler. 2007. Classification and mapping of vegetation and fire fuel models at Delaware Water Gap National Recreation Area. Technical Report NPS/NER/NRTR--2007/076. National Park Service, Philadelphia, PA. 2 volumes.
659443	Patterson 2008a	Patterson, K. D. 2008a. Vegetation classification and mapping at Appomattox Court House National Historical Park, Virginia. Technical Report NPS/NER/NRTR--2008/125. National Park Service, Philadelphia, PA.
185532	Areces-Mallea et al. 1999	Areces-Mallea, A. E., A. S. Weakley, X. Li, R. G. Sayre, J. D. Parrish, C. V. Tipton, and T. Boucher. 1999. A guide to Caribbean vegetation types: Preliminary classification system and descriptions. The Nature Conservancy, Arlington, VA. 166 pp.
185758	Odum et al. 1982	Odum, W. E., C. C. McIvor, and T. J. Smith, III. 1982. The ecology of the mangroves of south Florida: A community profile. USDI Fish & Wildlife Service, Office of Biological Services. Report No. FWS/OBS/-81/24. Washington, DC. 144 pp.
195735	Loughbridge 1880	Loughbridge, R. H. 1880. Report on cotton production in the state of Texas. 10th Census of the United States, U.S. Department of the Interior, Washington, DC.
188705	Weakley and Schafale 1994	Weakley, A. S., and M. P. Schafale. 1994. Non-alluvial wetlands of the Southern Blue Ridge: Diversity in a threatened ecosystem. Water, Air, and Soil Pollution 77:359-383.
183454	Golden 1974	Golden, M. S. 1974. Forest vegetation and site relationships in the central portion of the Great Smoky Mountains National Park. Ph.D. dissertation, University of Tennessee, Knoxville. 275 pp.
197004	Crandall 1960	Crandall, D. L. 1960. Ground vegetation patterns of the spruce-fir area of the Great Smoky Mountains National Park. Virginia Journal of Science January 1960:9-18.
197460	Wentworth et al. 1988a	Wentworth, T. R., P. S. White, C. Pyle, and M. P. Schafale. 1988a. Compilation and interpretation of the vegetation database and disturbance history of Southern Appalachian spruce-fir. Pages 145-149 in: Proceedings of the US/FRG research symposium: Effects of atmospheric pollutants on the spruce-fir forests of the eastern U.S. and the Federal Republic of Germany. General Technical Report NE-120. USDA Forest Service, Washington, DC.
198284	Nicholas et al. 1992	Nicholas, N. S., S. M. Zedaker, C. Eagar, and F. T. Bonner. 1992. Seedling recruitment and stand regeneration in spruce-fir forests of the Great Smoky Mountains. Bulletin of the Torrey Botanical Club 119:289-299.
197939	Dix and Smeins 1967	Dix, R. L., and F. E. Smeins. 1967. The prairies, meadows, and marsh vegetation of Nelson County, North Dakota. Canadian Journal of Botany 45:21-58.
187927	Coker and Totten 1945	Coker, W. C., and H. R. Totten. 1945. Trees of the southeastern United States. University of North Carolina Press, Chapel Hill.
192429	McDougal and Parks 1984	McDougal, K. M., and C. R. Parks. 1984. Elevational variation in foliar flavonoids of Quercus rubra L. (Fagaceae). American Journal of Botany 71:301-308.
200900	Stephenson and Adams 1989	Stephenson, S. L., and H. S. Adams. 1989. The high-elevation red oak (Quercus rubra) community type in western Virginia. Castanea 54:217-229.
196761	Arkansas Geological Commission 2001	Arkansas Geological Commission. 2001. Novaculite. [http://www.state.ar.us/agc/novaculi.htm]. (accessed December 10, 2001)
185988	Homoya et al. 1985	Homoya, M. A., D. B. Abrell, J. R. Aldrich, and T. W. Post. 1985. The natural regions of Indiana. Proceedings of the Indiana Academy of Science 94:245-268.
186369	Risser 1988	Risser, P. G. 1988. Diversity in and among grasslands. In: E. O. Wilson, editor. Biodiversity. National Academy Press. 520 pp.
510011	Vanderhorst and Streets 2006	Vanderhorst, J., and B. P. Streets. 2006. Vegetation classification and mapping of Camp Dawson Army Training Site, West Virginia: Second approximation. Natural Heritage Program, West Virginia Division of Natural Resources, Elkins. 83 pp.
465206	Smith 1969	Smith, D. R. 1969. Vegetation, soils and their interrelationships at timberline in the Medicine Bow Mountains, Wyoming. University of Wyoming Agricultural Experiment Station Science Monograph 17. 13 pp.
175666	Eddleman 1963	Eddleman, L. E. 1963. Abrupt transitions in alpine communities. Journal of the Colorado-Wyoming Academy of Science 5(4):39-40 (Abstract).
176705	Spencer 1975	Spencer, J. P. 1975. The effects of winter weather modification on alpine plant communities in the San Juan Mountains, Colorado. Unpublished thesis, University of Colorado, Boulder. 122 pp.
189286	USFS 1983c	USFS [U.S. Forest Service]. 1983c. TES-10, Alura Mesa and Strayhorse allotments. Unpublished report prepared for USDA Forest Service, Southwestern Region, Albuquerque, NM. Various pages, appendices and maps.
189921	Klimas et al. 1981	Klimas, C. V., C. O. Martin, and J. W. Teaford. 1981. Impacts of flooding regime modification on wildlife habitats of bottomland hardwood forests in the lower Mississippi. U.S. Army Corps of Engineers, Waterways Experimental Station and Environmental Lab. Technical Report EL-81-13. Vicksburg, MS. 137 pp. plus appendix.
184157	Cooper and Lesica 1992	Cooper, S. V., and P. Lesica. 1992. Plant community classification for alpine vegetation on Beaverhead National Forest, Montana. Conservation Biology Research, Helena, MT. 80 pp.
186816	Cooper et al. 1997	Cooper, S. V., P. Lesica, and D. Page-Dumroese. 1997. Plant community classification for alpine vegetation on Beaverhead National Forest, Montana. Report INT-GTR-362. USDA Forest Service, Intermountain Research Station, Ogden, UT. 61 pp.
671240	Keeler-Wolf et al. 2005	Keeler-Wolf, T., S. San, and D. Hickson. 2005. Vegetation classification of Joshua Tree National Park, Riverside and San Bernardino counties, California. Unpublished report to the National Park Service. California Fish and Game and California Native Plant Society, Sacramento, CA.
194427	Moseley et al. 1991	Moseley, R. K., R. J. Bursik, and M. Manusco. 1991. Floristic inventory of wetlands in Fremont and Teton counties, Idaho. Unpublished report on file IDCDC Department of Fish & Game, Boise, ID. 60 pp.
510634	Huddlestun 1988	Huddlestun, P. F. 1988. A revision of the lithostratigraphic units of the Coastal Plain of Georgia. The Miocene through Holocene. Bulletin 104. Georgia Geologic Survey, Environmental Protection Division, Georgia Department of Natural Resources, Atlanta. 162 pp. plus attachments.
191295	Bader 1932	Bader, E. H. 1932. The vegetation of the Mesa Verde National Park, Colorado. Unpublished thesis, University of Colorado, Boulder. 64 pp.
197303	Cooper and Pfister 1981	Cooper, S., and R. Pfister. 1981. Forest habitat types of the Blackfeet Indian Reservation. Review Draft, 5/21/81, for Bureau of Indian Affairs, Wind River Agency, Fort Washakie, WY.
176408	Stubbendieck et al. 1992	Stubbendieck, J., S. L. Hatch, and C. H. Butterfield. 1992. North American range plants, 4th edition. University of Nebraska Press, Lincoln. 493 pp.
671226	Evens 2000	Evens, J. M. 2000. Water course vegetation on granite and calcareous substrates in the eastern Mojave Desert, California. Master's thesis, Humboldt State University, Arcata, CA.
175354	Moseley and Bursik 1994	Moseley, R. K., and R. J. Bursik. 1994. Black cottonwood communities of Spion Kop Research Natural Area, Coeur d'Alene, Blaine County, Idaho. Idaho Panhandle NFs/IdCDC Idaho Department of Fish & Game Cooperative Cost Share Project. 14 pp.
200606	Sneddon et al. 1994	Sneddon, L., M. Anderson, and K. Metzler. 1994. A classification and description of terrestrial community alliances in The Nature Conservancy's Eastern Region: First approximation. Unpublished report to USDI Fish & Wildlife Service, Gap Analysis Program. The Nature Conservancy, Eastern Heritage Task Force, Boston, MA. 116 pp.
719319	Brock et al. 2007	Brock, J. C., C. W. Wright, M. Patterson, A. Naeghandi, and L. J. Travers. 2007. EAARL bare earth topography - Assateague Island National Seashore. U.S. Geological Survey Open File Report 2007-1176. [http://pubs.usgs.gov/of/2007/1176/start.html]
182809	Evans 1991	Evans, M. 1991. Kentucky ecological communities. Draft report to the Kentucky Nature Preserves Commission. 19 pp.
200990	Caicco and Wellner 1983j	Caicco, S. L., and C. A. Wellner. 1983j. Research Natural Area recommendation for Big Juniper Kipuka. Unpublished report prepared for USDI Bureau of Land Management, Shoshone District, Idaho by Idaho Natural Areas Coordinating Committee.
201073	Fuller 1977	Fuller, R. D. 1977. Why does spruce not invade the high elevation beech forests of the Great Smoky Mountains? M.S. thesis, University of Tennessee, Knoxville. 64 pp.
201333	Küchler 1956	Küchler, A. W. 1956. Notes on the vegetation of southeastern Mount Desert Island, Maine. University of Kansas Science Bulletin 38:335-392.
183814	Bowles and McBride 1995	Bowles, M., and J. McBride. 1995. Results of a survey for savanna and woodland natural communities in northern Illinois. Unpublished draft paper. 17 pp.
181815	Thilenius 1971	Thilenius, J. F. 1971. Vascular plants of the Black Hills of South Dakota and adjacent Wyoming. General Technical Report RM-71. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO.
185568	McAdams et al. 1998	McAdams, A. G., D. A. Stutzman, and D. Faber-Langendoen. 1998. Black Hills Community Inventory, unpublished data. The Nature Conservancy, Midwest Regional Office, Minneapolis, MN.
190821	Peet 1978b	Peet, R. K. 1978b. Forest vegetation of the Colorado Front Range: Patterns of species diversity. Vegetatio 37:65-78.
194001	Kagan 1986	Kagan, J. S. 1986. Status report for Thelypodium howellii subsp. spectabilis. Oregon Natural Heritage Data Base, The Nature Conservancy, Portland.
175726	Elias 1980	Elias, T. B. 1980. The complete trees of North America, field guide and natural history. Book Division, Times Mirror Magazines, Inc. 948 pp.
179638	Funk 1975	Funk, V. A. 1975. A floristic and geologic survey of selected seeps in Calloway County, Kentucky. M.S. thesis, Murray State University, Murray, KY. 84 pp.
184790	Hall 1967	Hall, F. C. 1967. Vegetation-soil relations as a basis for resource management on the Ochoco National Forest of central Oregon. Unpublished dissertation, Oregon State University, Corvallis. 207 pp.
185767	Helm 1977	Helm, D. J. 1977. Variations in alpine snowfield vegetation. Unpublished thesis, Colorado State University, Fort Collins. 95 pp.
194601	Savage and Swetnam 1990	Savage, M., and T. W. Swetnam. 1990. Early 19th-century fire decline following sheep pasturing in a Navajo ponderosa pine forest. Ecology 71(6)2374-2378.
176345	Durkin et al. 1995a	Durkin, P., M. Bradley, E. Muldavin, and P. Mehlhop. 1995a. Riparian/wetland vegetation community classification of Rio Grande: A classification and site evaluation. Unpublished report for New Mexico Environment Department Surface Water Quality Bureau. New Mexico Natural Heritage Program, Albuquerque.
194026	Padgett et al. 1988a	Padgett, W. G., A. P. Youngblood, and A. H. Winward. 1988a. Riparian community type classification of Utah and southeastern Idaho. Research Paper R4-ECOL-89-0. USDA Forest Service, Intermountain Forest and Range Experiment Station, Ogden, UT.
178114	Hoagland pers. comm.	Hoagland, Bruce W. Personal communication. Ecologist, Oklahoma Natural Heritage Inventory, University of Oklahoma, Norman.
179952	Frenkel et al. 1986	Frenkel, R. E., W. H. Moir, and J. A. Christy. 1986. Vegetation of Torrey Lake Mire, central Cascade Range, Oregon. Madrono 33:24-39.
183537	Ratliff 1982	Ratliff, R. D. 1982. A meadow site classification for the Sierra Nevada, California. General Technical Report PSW-10. USDA Forest Service, Pacific Southwest Forest and Range Experiment Station, Berkeley, CA. 16 pp.
181555	Fanning and Fanning 1989	Fanning, D. D., and M. C. Fanning. 1989. Soil morphology, genesis, and classification. John Wiley and Sons, Inc., NY. 395 pp.
509999	Gellerstedt and Johnson 2005	Gellerstedt, L. S., and J. E. Johnson. 2005. Restoration of a New River flatrock forest community, New River Gorge National River, West Virginia. Unpublished report. Department of Forestry, Virginia Polytechnic Institute and State University, Blacksburg. 134 pp.
201050	Hoagland and Collins 1997	Hoagland, B. W., and S. L. Collins. 1997. Heterogeneity in shortgrass prairie vegetation: The role of playa lakes. Journal of Vegetation Science 8:277-286.
192794	Bray 1955	Bray, J. R. 1955. The savanna vegetation of Wisconsin and an application of the concepts order and complexity to the field of ecology. Ph.D. thesis, University of Wisconsin, Madison.
195638	Kotar and Burger 1989	Kotar, J., and T. L. Burger. 1989. Forest habitat type classification for the Menominee Indian Reservation. Department of Forestry, University of Wisconsin, Madison. 90 pp.
191339	Minc and Albert 1998	Minc, L. D., and D. A. Albert. 1998. Great Lakes coastal wetlands: Abiotic and floristic characterization. Great Lakes Wetlands 9(3):1-15.
195139	Rodgers and Provencher 1999	Rodgers, H. L., and L. Provencher. 1999. Analysis of longleaf pine sandhill vegetation in northwest Florida. Castanea 64(2):138-162.
175544	Copeland 1978	Copeland, W. N. 1978. Botanical survey of Eight Dollar Mountain, May 6-9, 1978. Oregon Natural Heritage Data Base, Portland, OR.
199170	TNC 1996a	TNC [The Nature Conservancy]. 1996a. Ecological assessment: Alcoa Bauxite Natural Areas in Arkansas: A report on the status of Natural Areas with stewardship recommendations. The Nature Conservancy, Arkansas Field Office, Little Rock. 57 pp.
180476	Jones and Stokes Association, Inc. 1996	Jones and Stokes Association, Inc. 1996. Monterey Pine Forest Conservation Strategy report. Unpublished report on file at California Natural Diversity Database.
183477	Van Kley et al. 1995	Van Kley, J. E., G. R. Parker, D. P. Franzmeier, and J. C. Randolph. 1995. Field Guide - Ecological classification of the Hoosier National Forest and surrounding areas of Indiana. USDA Forest Service, Hoosier National Forest.
187522	Palmer-Ball et al. 1988	Palmer-Ball, B., Jr., J. J. N. Campbell, M. E. Medley, D. T. Towles, J. R. MacGregor, and R. R. Cicerello. 1988. Cooperative inventory of endangered, threatened, sensitive and rare species, Daniel Boone National Forest, Somerset Ranger District. USDA Forest Service, Daniel Boone National Forest, Berea, KY. 244 pp.
193338	Turner 1935a	Turner, L. M. 1935a. Notes on forest types of northwestern Arkansas. The American Midland Naturalist 16:417-421.
191697	Schmalzer 1978	Schmalzer, P. A. 1978. Classification and analysis of forest communities in several coves of the Cumberland Plateau in Tennessee. M.S. thesis, University of Tennessee, Knoxville. 24 pp.
188803	Mansberg and Wentworth 1984	Mansberg, L., and T. R. Wentworth. 1984. Vegetation and soils of a serpentine barren in western North Carolina. Bulletin of the Torrey Botanical Club 111:273-286.
189544	Penfound 1948	Penfound, W. T. 1948. An analysis of an elm-ash floodplain community near Norman, Oklahoma. Proceedings of the Oklahoma Academy of Science 28:59-60.
180799	Savage 1968	Savage, D. E. 1968. The relationship of sage grouse to upland meadows in Nevada. Unpublished thesis, University of Nevada, Reno.
195865	Clark and Hutchinson 1994	Clark, B. F., and J. G. Hutchinson, editors. 1994. Central hardwood notes. USDA Forest Service: Northeastern Area State and Private Forestry, Northeastern Forest Experiment Station, Southern Forest Experiment Station.
200563	SAF 1967	SAF [Society of American Foresters]. 1967. Forest cover types of North America. Society of American Foresters, Washington, DC. 67 pp.
176395	Leucite Hills Mine Application n.d.	Leucite Hills Mine Application. No date. No. 520-T2, on file at Wyoming Department of Environmental Quality, Land Quality Division, Cheyenne.
201243	Martin 1959b	Martin, W. E. 1959b. The vegetation of Island Beach State Park, New Jersey. Ecological Monographs 29:1-46.
184670	Habeck 1962	Habeck, J. R. 1962. Forest succession in Monmouth Township, Polk County, Oregon, since 1850. Proceedings of the Montana Academy of Science 21:7-17.
178740	Johnson 1984	Johnson, F. L. 1984. Vegetational changes in a black willow forest over a 23 year period. Proceedings of the Oklahoma Academy of Science 64:11-13.
200385	Gordon and White 1994	Gordon, H. J., and T. C. White. 1994. Ecological guide to the southern California chaparral plant series. Technical Report R5-ECOL-TP-005. USDA Forest Service, Pacific Southwest Region, San Francisco, CA.
196022	Wells 1939	Wells, B. W. 1939. A new forest climax: The salt spray climax of Smith Island, N.C. Bulletin of the Torrey Botanical Club 66:629-634.
201513	EPA 2004	EPA [Environmental Protection Agency]. 2004. Level III and IV Ecoregions of EPA Region 4. U.S. Environmental Protection Agency, National Health and Environmental Effects Research Laboratory, Western Ecology Division, Corvallis, OR. Scale 1:2,000,000.
199495	Roberts et al. 1979a	Roberts, D. W., J. I. Sibbernsen, and R. D. Pfister. 1979a. Forest and woodland habitat types of northcentral Montana. Volume 2: The Missouri River Breaks. Unpublished report prepared by University of Montana, School of Forestry. IFRES YA-512-CT6-B4. Prepared for the USDI Bureau of Land Management State Office, Research Division, Billings, MT. 24 pp.
188478	Prodgers 1978	Prodgers, R. 1978. Circle West vegetation baseline study: Final report. Circle West Technical Report No. 1. Energy Division, Montana Department of Natural Resources and Conservation, Helena. 115 pp.
191378	Comer et al. 1999	Comer, P. (editor), L. Allen, S. Cooper, D. Faber-Langendoen, and G. Jones. 1999. Selected shrubland and grassland communities of the northern Great Plains. Report to the Nebraska National Forest. The Nature Conservancy.
503881	Martin et al. 1998	Martin, B., S. Cooper, B. Heidel, T. Hildebrand, G. Jones, D. Lenz, and P. Lesica. 1998. Natural community inventory within landscapes in the Northern Great Plains Steppe Ecoregion of the United States. A report to the Natural Resource Conservation Service, Northern Plains Regional Office. The Nature Conservancy, Helena, MT. 211 pp.
